Unnamed: 0,#,ประเภท,รายการ,สร้างโดย,ชื่อลูกค้า,รหัสลูกค้า,อีเมลลูกค้า,เบอร์โทรศัพท์ลูกค้า,ที่อยู่ลูกค้า,เลขผู้เสียภาษี,อ้างอิง,ช่องทางการขาย,วันที่ทำรายการ,ส่วนลด,รายได้จาก Platform,ค่าส่ง (ที่เรียกเก็บจากลูกค้า),มูลค่ารวมก่อนภาษี,ภาษีมูลค่าเพิ่ม,วันส่งสินค้า,Tracking No,ช่องทางจัดส่ง,ชื่อผู้รับ,เบอร์โทรศัพท์ผู้รับ,อีเมลผู้รับ,ที่อยู่/จัดส่ง,รหัสไปรษณีย์,จังหวัด,อำเภอ/เขต,ตำบล/แขวง,มูลค่า,หมายเหตุ,Tag,สถานะรายการ,คลัง/สาขา,สถานะการชำระเงิน,ใบกำกับภาษี,ช่องทางการชำระเงิน,จำนวนเงินที่ชำระ,วันที่ชำระเงิน,Payment ID,รหัสสินค้า,ชื่อสินค้า,จำนวน,ราคาต่อหน่วย,ส่วนลดต่อหน่วย,ราคารวม,ล็อต,หมวดหมู่
In-store,25,ขายออก,DD455249,Admin,Siriporn Ruangsan,2365,siriporn.ruangsan@example.com,078517836,"500 หมู่ 17, Bangkok",,,In-store,31/01/2025,5.0,,70,247.0,0.0,,TH67235484,Flash Express,Siriporn Ruangsan,078517836,,"511 หมู่ 7, Bangkok",72856,Bangkok,,,247.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,317.0,31/01/2025,,DD009,Lamb & Pea Wet Food,2,130,6.5,247.0,,Wet Food
Lazada,26,ขายออก,DD849074,Admin,Ratree Nakornpol,4072,ratree.nakornpol@example.com,069415398,"387 หมู่ 13, Phuket",,,Lazada,31/12/2024,,-80.0,80,7200.0,0.0,,TH58763532,Kerry Express,Ratree Nakornpol,069415398,,"348 หมู่ 17, Phuket",65129,Phuket,,,7200.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,7280.0,31/12/2024,,DD004,Grain-Free Salmon & Sweet Potato,4,1800,0.0,7200.0,,Dry Food
Lazada,27,ขายออก,DD383876,Admin,Ratchanee Jaiyen,4486,ratchanee.jaiyen@example.com,092534837,"513 หมู่ 3, Chiang Rai",,,Lazada,18/04/2025,15.0,-50.0,50,5100.0,0.0,,TH65553464,Kerry Express,Ratchanee Jaiyen,092534837,,"656 หมู่ 11, Chiang Rai",86539,Chiang Rai,,,5100.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,5150.0,19/04/2025,,DD001,Premium Puppy Kibble (Small Breed),5,1200,180.0,5100.0,,Dry Food
Lazada,28,ขายออก,DD395451,Admin,Somkid Thongsuk,6320,somkid.thongsuk@example.com,097655623,"929 หมู่ 13, Phuket",,,Lazada,28/11/2024,,-70.0,70,1000.0,0.0,,,J&T Express,Somkid Thongsuk,097655623,,"732 หมู่ 16, Phuket",41921,Phuket,,,1000.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,Credit Card,,,,DD010,Dental Chew Sticks (Small),4,250,0.0,1000.0,,Treats
In-store,29,ขายออก,DD944573,Admin,Siripat Sae-lim,8449,siripat.sae-lim@example.com,086187480,"63 หมู่ 17, Phuket",,,In-store,22/04/2025,5.0,,50,570.0,0.0,,TH31496823,Flash Express,Siripat Sae-lim,086187480,,"461 หมู่ 1, Phuket",94791,Phuket,,,570.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,620.0,24/04/2025,,DD013,Peanut Butter Biscuits,3,200,10.0,570.0,,Treats
Distributor,30,ขายออก,DD335365,Admin,Sirithorn Ruangrit,8245,sirithorn.ruangrit@example.com,092722320,"457 หมู่ 14, Khon Kaen",,,Distributor,22/02/2025,,,60,390.0,0.0,,TH41657524,Flash Express,Sirithorn Ruangrit,092722320,,"1 หมู่ 19, Khon Kaen",19860,Khon Kaen,,,390.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,450.0,24/02/2025,,DD009,Lamb & Pea Wet Food,3,130,0.0,390.0,,Wet Food
In-store,31,ขายออก,DD686165,Admin,Ratchanee Thongsuk,8901,ratchanee.thongsuk@example.com,082186887,"763 หมู่ 17, Bangkok",,,In-store,08/05/2025,,,80,800.0,0.0,,TH46213003,Flash Express,Ratchanee Thongsuk,082186887,,"624 หมู่ 15, Bangkok",68017,Bangkok,,,800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,880.0,09/05/2025,,DD013,Peanut Butter Biscuits,4,200,0.0,800.0,,Treats
Website,32,ขายออก,DD106949,Admin,Somsak Pongsuwan,6115,somsak.pongsuwan@example.com,084467366,"542 หมู่ 10, Bangkok",,,Website,16/04/2025,,,50,3750.0,0.0,,TH42843745,J&T Express,Somsak Pongsuwan,084467366,,"563 หมู่ 17, Bangkok",88587,Bangkok,,,3750.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,3800.0,18/04/2025,,DD015,Skin & Coat Supplement,5,750,0.0,3750.0,,Supplements
Lazada,33,ขายออก,DD358090,Admin,Nattaporn Nakornsri,2887,nattaporn.nakornsri@example.com,092849396,"195 หมู่ 18, Chiang Mai",,,Lazada,29/03/2025,10.0,-70.0,70,3240.0,0.0,,TH26663288,Thailand Post,Nattaporn Nakornsri,092849396,,"61 หมู่ 19, Chiang Mai",46586,Chiang Mai,,,3240.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,3310.0,29/03/2025,,DD004,Grain-Free Salmon & Sweet Potato,2,1800,180.0,3240.0,,Dry Food
Shopee,34,ขายออก,DD470608,Admin,Siripong Jaiyen,7493,siripong.jaiyen@example.com,073245131,"107 หมู่ 16, Bangkok",,,Shopee,12/04/2025,,-50.0,50,2800.0,0.0,,TH44626632,Kerry Express,Siripong Jaiyen,073245131,,"573 หมู่ 17, Bangkok",61745,Bangkok,,,2800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,2850.0,13/04/2025,,DD005,Weight Management Formula,2,1400,0.0,2800.0,,Dry Food
Shopee,35,ขายออก,DD173686,Admin,Ratchapol Nakornthai,1918,ratchapol.nakornthai@example.com,081635605,"750 หมู่ 11, Bangkok",,,Shopee,12/12/2024,,-70.0,70,1800.0,0.0,,TH33335437,Thailand Post,Ratchapol Nakornthai,081635605,,"751 หมู่ 13, Bangkok",38699,Bangkok,,,1800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,1870.0,14/12/2024,,DD004,Grain-Free Salmon & Sweet Potato,1,1800,0.0,1800.0,,Dry Food
Shopee,36,ขายออก,DD550009,Admin,Wichian Thongsuk,7371,wichian.thongsuk@example.com,077292518,"111 หมู่ 2, Chiang Mai",,,Shopee,04/12/2024,,-60.0,60,5100.0,0.0,,TH32419480,J&T Express,Wichian Thongsuk,077292518,,"623 หมู่ 8, Chiang Mai",16229,Chiang Mai,,,5100.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,5160.0,04/12/2024,,DD006,Sensitive Stomach Formula,3,1700,0.0,5100.0,,Dry Food
Shopee,37,ขายออก,DD903692,Admin,Somjai Jairam,7986,somjai.jairam@example.com,093000609,"446 หมู่ 9, Bangkok",,,Shopee,03/05/2025,,-100.0,100,10000.0,0.0,,TH42359860,Kerry Express,Somjai Jairam,093000609,,"759 หมู่ 3, Bangkok",86090,Bangkok,,,10000.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Prompt Pay,,,,DD017,Puppy Starter Kit,4,2500,0.0,10000.0,,Bundles
Distributor,38,ขายออก,DD862501,Admin,Ratree Ruangrit,7316,ratree.ruangrit@example.com,078643603,"300 หมู่ 5, Rayong",,,Distributor,17/12/2024,20.0,,50,480.0,0.0,,TH27807333,Thailand Post,Ratree Ruangrit,078643603,,"326 หมู่ 4, Rayong",97886,Rayong,,,480.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,530.0,19/12/2024,,DD008,Chicken & Rice Wet Food,5,120,24.0,480.0,,Wet Food
Shopee,39,ขายออก,DD656542,Admin,Somchai Jairam,7038,somchai.jairam@example.com,076809701,"650 หมู่ 12, Khon Kaen",,,Shopee,05/12/2024,,-60.0,60,4800.0,0.0,,TH98362656,Kerry Express,Somchai Jairam,076809701,,"898 หมู่ 13, Khon Kaen",30618,Khon Kaen,,,4800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,4860.0,05/12/2024,,DD001,Premium Puppy Kibble (Small Breed),4,1200,0.0,4800.0,,Dry Food
Shopee,40,ขายออก,DD529474,Admin,Nattapong Nakornsri,2908,nattapong.nakornsri@example.com,069112074,"376 หมู่ 11, Chonburi",,,Shopee,03/05/2025,,-80.0,80,6000.0,0.0,,TH87822269,J&T Express,Nattapong Nakornsri,069112074,,"137 หมู่ 2, Chonburi",36614,Chonburi,,,6000.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Bank Transfer,,,,DD002,Premium Adult Kibble (All Breeds),4,1500,0.0,6000.0,,Dry Food
Lazada,41,ขายออก,DD879554,Admin,Siripong Thongsri,2065,siripong.thongsri@example.com,093155748,"89 หมู่ 18, Bangkok",,,Lazada,31/01/2025,10.0,-60.0,60,4320.0,0.0,,TH48428026,Kerry Express,Siripong Thongsri,093155748,,"296 หมู่ 8, Bangkok",98861,Bangkok,,,4320.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,4380.0,31/01/2025,,DD003,Premium Senior Kibble (Large Breed),3,1600,160.0,4320.0,,Dry Food
Shopee,42,ขายออก,DD538774,Admin,Ratchada Jaisai,2202,ratchada.jaisai@example.com,088490200,"968 หมู่ 10, Phuket",,,Shopee,25/12/2024,,-70.0,70,360.0,0.0,,TH54132455,Thailand Post,Ratchada Jaisai,088490200,,"448 หมู่ 15, Phuket",21246,Phuket,,,360.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,430.0,27/12/2024,,DD008,Chicken & Rice Wet Food,3,120,0.0,360.0,,Wet Food
Website,43,ขายออก,DD381173,Admin,Wichaya Thongsri,7359,wichaya.thongsri@example.com,076275034,"948 หมู่ 15, Pathum Thani",,,Website,07/03/2025,,,100,4800.0,0.0,,TH29908425,Flash Express,Wichaya Thongsri,076275034,,"157 หมู่ 8, Pathum Thani",77779,Pathum Thani,,,4800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,4900.0,07/03/2025,,DD001,Premium Puppy Kibble (Small Breed),4,1200,0.0,4800.0,,Dry Food
Distributor,44,ขายออก,DD964266,Admin,Somsak Thongchai,8783,somsak.thongchai@example.com,084377778,"958 หมู่ 18, Nonthaburi",,,Distributor,21/11/2024,,,60,3000.0,0.0,,TH46940933,J&T Express,Somsak Thongchai,084377778,,"985 หมู่ 1, Nonthaburi",81315,Nonthaburi,,,3000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,3060.0,22/11/2024,,DD015,Skin & Coat Supplement,4,750,0.0,3000.0,,Supplements
In-store,45,ขายออก,DD938761,Admin,Ratchaphon Sae-tang,4368,ratchaphon.sae-tang@example.com,063681719,"726 หมู่ 11, Bangkok",,,In-store,07/03/2025,,,70,480.0,0.0,,TH37580296,Kerry Express,Ratchaphon Sae-tang,063681719,,"407 หมู่ 1, Bangkok",10126,Bangkok,,,480.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,550.0,08/03/2025,,DD008,Chicken & Rice Wet Food,4,120,0.0,480.0,,Wet Food
Website,46,ขายออก,DD532498,Admin,Ratchaphon Jaisai,8970,ratchaphon.jaisai@example.com,061494592,"575 หมู่ 11, Udon Thani",,,Website,01/01/2025,,,50,7000.0,0.0,,TH87652169,J&T Express,Ratchaphon Jaisai,061494592,,"806 หมู่ 2, Udon Thani",47430,Udon Thani,,,7000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,7050.0,02/01/2025,,DD005,Weight Management Formula,5,1400,0.0,7000.0,,Dry Food
Shopee,47,ขายออก,DD932672,Admin,Siriporn Jairai,1966,siriporn.jairai@example.com,067231219,"849 หมู่ 9, Phuket",,,Shopee,31/03/2025,,-80.0,80,8400.0,0.0,,TH41199893,Kerry Express,Siriporn Jairai,067231219,,"689 หมู่ 8, Phuket",97895,Phuket,,,8400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,8480.0,31/03/2025,,DD018,Senior Care Package,3,2800,0.0,8400.0,,Bundles
Shopee,48,ขายออก,DD841804,Admin,Rattana Jaisai,7645,rattana.jaisai@example.com,088433533,"988 หมู่ 17, Bangkok",,,Shopee,04/01/2025,,-70.0,70,120.0,0.0,,TH23781009,Flash Express,Rattana Jaisai,088433533,,"114 หมู่ 6, Bangkok",69676,Bangkok,,,120.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,190.0,05/01/2025,,DD007,Beef & Vegetable Wet Food,1,120,0.0,120.0,,Wet Food
Lazada,49,ขายออก,DD837334,Admin,Somying Thongpat,6954,somying.thongpat@example.com,076211593,"984 หมู่ 8, Surat Thani",,,Lazada,14/05/2025,,-50.0,50,1800.0,0.0,,TH21484508,J&T Express,Somying Thongpat,076211593,,"54 หมู่ 15, Surat Thani",62603,Surat Thani,,,1800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,1850.0,16/05/2025,,DD004,Grain-Free Salmon & Sweet Potato,1,1800,0.0,1800.0,,Dry Food
Shopee,50,ขายออก,DD112175,Admin,Ratchanok Thongpat,3198,ratchanok.thongpat@example.com,098021855,"85 หมู่ 19, Udon Thani",,,Shopee,22/01/2025,,-60.0,60,4800.0,0.0,,TH85094484,Kerry Express,Ratchanok Thongpat,098021855,,"624 หมู่ 19, Udon Thani",94458,Udon Thani,,,4800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,4860.0,24/01/2025,,DD001,Premium Puppy Kibble (Small Breed),4,1200,0.0,4800.0,,Dry Food
Website,51,ขายออก,DD478387,Admin,Somrak Jaidee,6619,somrak.jaidee@example.com,087918889,"506 หมู่ 12, Nakhon Ratchasima",,,Website,22/12/2024,10.0,,60,5040.0,0.0,,TH99323229,Flash Express,Somrak Jaidee,087918889,,"280 หมู่ 17, Nakhon Ratchasima",86918,Nakhon Ratchasima,,,5040.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,5100.0,24/12/2024,,DD018,Senior Care Package,2,2800,280.0,5040.0,,Bundles
